ANO,UFCOD,IDADE,SEXO,POPULACAO
2001,13,A4343,M,13737
2001,13,A4444,M,13108
2001,13,A4545,M,12460
2001,13,A4646,M,11816
2001,13,A4747,M,11192
2001,13,A4848,M,10575
2001,13,A4949,M,9974
2001,13,A5050,M,9394
2001,13,A5151,M,8819
2001,13,A5252,M,8262
2001,13,A5353,M,7758
2001,13,A5454,M,7334
2001,13,A5555,M,6966
2001,13,A5656,M,6630
2001,13,A5757,M,6309
2001,13,A5858,M,6004
2001,13,A5959,M,5707
2001,13,A6060,M,5415
2001,13,A6161,M,5141
2001,13,A6262,M,4878
2001,13,A6363,M,4628
2001,13,A6464,M,4378
2001,13,A6565,M,4138
2001,13,A6666,M,3906
2001,13,A6767,M,3688
2001,13,A6868,M,3476
2001,13,A6969,M,3266
2001,13,A7070,M,3072
2001,13,A7171,M,2889
2001,13,A7272,M,2712
2001,13,A7373,M,2540
2001,13,A7474,M,2380
2001,13,A7575,M,2225
2001,13,A7676,M,2076
2001,13,A7777,M,1923
2001,13,A7878,M,1769
2001,13,A7979,M,1610
2001,13,A8080,M,1464
2001,13,A8181,M,1319
2001,13,A8282,M,1181
2001,13,A8383,M,1050
2001,13,A8484,M,925
2001,13,A8585,M,806
2001,13,A8686,M,690
2001,13,A8787,M,575
2001,13,A8888,M,461
2001,13,A8989,M,344
2001,13,A9090,M,1616
2001,13,A0000,F,39504
2001,13,A0101,F,40175
2001,13,A0202,F,40160
2001,13,A0303,F,39841
2001,13,A0404,F,39460
2001,13,A0505,F,39078
2001,13,A0606,F,38518
2001,13,A0707,F,37777
2001,13,A0808,F,36904
2001,13,A0909,F,35878
2001,13,A1010,F,34874
2001,13,A1111,F,34134
2001,13,A1212,F,33792
2001,13,A1313,F,33728
2001,13,A1414,F,33742
2001,13,A1515,F,33676
2001,13,A1616,F,33540
2001,13,A1717,F,33249
2001,13,A1818,F,32844
2001,13,A1919,F,32450
2001,13,A2020,F,32025
2001,13,A2121,F,31394
2001,13,A2222,F,30494
2001,13,A2323,F,29385
2001,13,A2424,F,28164
2001,13,A2525,F,26949
2001,13,A2626,F,25757
2001,13,A2727,F,24628
2001,13,A2828,F,23580
2001,13,A2929,F,22511
2001,13,A3030,F,21461
2001,13,A3131,F,20519
2001,13,A3232,F,19721
2001,13,A3333,F,19052
2001,13,A3434,F,18435
2001,13,A3535,F,17841
2001,13,A3636,F,17272
2001,13,A3737,F,16711
2001,13,A3838,F,16140
2001,13,A3939,F,15672
2001,13,A4040,F,15064
2001,13,A4141,F,14453
2001,13,A4242,F,13860
2001,13,A4343,F,13252
2001,13,A4444,F,12632
2001,13,A4545,F,12004
2001,13,A4646,F,11400
2001,13,A4747,F,10798
2001,13,A4848,F,10203
2001,13,A4949,F,9606
2001,13,A5050,F,9006
2001,13,A5151,F,8415
2001,13,A5252,F,7852
2001,13,A5353,F,7352
2001,13,A5454,F,6940
2001,13,A5555,F,6584
2001,13,A5656,F,6268
2001,13,A5757,F,5964
2001,13,A5858,F,5694
2001,13,A5959,F,5442
2001,13,A6060,F,5206
2001,13,A6161,F,4991
2001,13,A6262,F,4790
2001,13,A6363,F,4582
2001,13,A6464,F,4356
2001,13,A6565,F,4138
2001,13,A6666,F,3928
2001,13,A6767,F,3727
2001,13,A6868,F,3534
2001,13,A6969,F,3334
2001,13,A7070,F,3144
2001,13,A7171,F,2960
2001,13,A7272,F,2784
2001,13,A7373,F,2620
2001,13,A7474,F,2466
2001,13,A7575,F,2320
2001,13,A7676,F,2183
2001,13,A7777,F,2052
2001,13,A7878,F,1925
2001,13,A7979,F,1800
2001,13,A8080,F,1692
2001,13,A8181,F,1578
2001,13,A8282,F,1460
2001,13,A8383,F,1338
2001,13,A8484,F,1210
2001,13,A8585,F,1076
2001,13,A8686,F,938
2001,13,A8787,F,795
2001,13,A8888,F,647
2001,13,A8989,F,495
2001,13,A9090,F,2308
2001,14,A0000,M,5452
2001,14,A0101,M,5438
2001,14,A0202,M,5391
2001,14,A0303,M,5258
2001,14,A0404,M,5123
2001,14,A0505,M,4991
2001,14,A0606,M,4846
2001,14,A0707,M,4684
2001,14,A0808,M,4530
2001,14,A0909,M,4380
2001,14,A1010,M,4232
2001,14,A1111,M,4118
2001,14,A1212,M,4052
2001,14,A1313,M,4026
2001,14,A1414,M,4000
2001,14,A1515,M,3979
2001,14,A1616,M,3944
2001,14,A1717,M,3892
2001,14,A1818,M,3814
2001,14,A1919,M,3754
2001,14,A2020,M,3688
2001,14,A2121,M,3604
2001,14,A2222,M,3484
2001,14,A2323,M,3348
2001,14,A2424,M,3192
2001,14,A2525,M,3041
2001,14,A2626,M,2916
2001,14,A2727,M,2808
2001,14,A2828,M,2748
2001,14,A2929,M,2682
2001,14,A3030,M,2622
2001,14,A3131,M,2568
2001,14,A3232,M,2518
2001,14,A3333,M,2472
2001,14,A3434,M,2433
2001,14,A3535,M,2388
2001,14,A3636,M,2338
2001,14,A3737,M,2270
2001,14,A3838,M,2190
